其他,#genre#
Bernama,https://yydsxll.serv00.net/Smartv.php?id=Bernama
Prima,https://yydsxll.serv00.net/Smartv.php?id=Prima-0
Prima(備用),https://yydsxll.serv00.net/Smartv.php?id=Prima49
Ceria,https://yydsxll.serv00.net/Smartv.php?id=Ceria
Mecca Live HD,https://yydsxll.serv00.net/Smartv.php?id=quran_mido
Madinah HD,https://yydsxll.serv00.net/Smartv.php?id=sunnah_mido
Oasis,https://yydsxll.serv00.net/Smartv.php?id=Oasis
NatGeo Wild HD,https://yydsxll.serv00.net/Smartv.php?id=Natgeowild
Cartoon Network,https://yydsxll.serv00.net/Smartv.php?id=Cn
Nickelodeon,https://yydsxll.serv00.net/Smartv.php?id=Nickelodeon
Nick Jr,https://yydsxll.serv00.net/Smartv.php?id=Nickjr
Citra,https://yydsxll.serv00.net/Smartv.php?id=Citra
Sensasi,https://yydsxll.serv00.net/Smartv.php?id=Sensasi
Aura,https://yydsxll.serv00.net/Smartv.php?id=Aura
Rania,https://yydsxll.serv00.net/Smartv.php?id=Rania
Boo,https://yydsxll.serv00.net/Smartv.php?id=Boo
Awesome TV,https://yydsxll.serv00.net/Smartv.php?id=Awesome_mega
Sony HD,https://yydsxll.serv00.net/Smartv.php?id=SetOne
KBS World,https://yydsxll.serv00.net/Smartv.php?id=KBS
TvN,https://yydsxll.serv00.net/Smartv.php?id=TVN
AEC,https://yydsxll.serv00.net/Smartv.php?id=AEC
華麗台 HD,https://yydsxll.serv00.net/Smartv.php?id=Wlt
歡喜台 HD,https://yydsxll.serv00.net/Smartv.php?id=Huahee
歡喜台(備用),https://yydsxll.serv00.net/Smartv.php?id=Huahee_backup
AOD,https://yydsxll.serv00.net/Smartv.php?id=AodHD
One,https://yydsxll.serv00.net/Smartv.php?id=One_mega
愛奇藝,https://yydsxll.serv00.net/Smartv.php?id=Qiyi
Animal Planet (Eng),https://yydsxll.serv00.net/Smartv.php?id=AnimalPlanet
tvN Movie,https://yydsxll.serv00.net/Smartv.php?id=Tvnmovie
CNN(備用),https://yydsxll.serv00.net/Smartv.php?id=cnn_twn
Celestial Classic,https://yydsxll.serv00.net/Smartv.php?id=Celestial2
CNBC,https://yydsxll.serv00.net/Smartv.php?id=cnbc_twn
RTM Sports HD,https://yydsxll.serv00.net/Smartv.php?id=Rtmsport
TLC,https://yydsxll.serv00.net/Smartv.php?id=Tlc
CNA,https://yydsxll.serv00.net/Smartv.php?id=cna
AFC 亞洲旅遊台,https://yydsxll.serv00.net/Smartv.php?id=asiatravel_twn
BBC World News,https://yydsxll.serv00.net/Smartv.php?id=bbcnews_twn
Foodnetwork Hd,https://yydsxll.serv00.net/Smartv.php?id=Foodnetwork_mega
HGTV,https://yydsxll.serv00.net/Smartv.php?id=HGTV
